Gender,10th Percentage,Medium of School Education,HSC / Diploma,Name of Board for 12th Exam,12th Percentage,Semester 1 CGPA,Semester 2 CGPA,Semester 3 SGPA,Semester 4 CGPA,Semester 5 CGPA,Placed
0,91.39411654452863,0,1,1,92.92025641250804,9.969058983564224,8.545601780229521,8.731901420250423,9.848071983007696,7.941321580795348,1
1,61.31490017380401,3,1,1,82.05095852237453,7.706050460724478,7.222629404228499,8.215473764497235,8.974652568505157,8.323603619811774,0
1,81.46255347632123,3,1,1,71.2166228153787,8.449027930016724,8.81741735675373,7.581946218082104,9.982309191121539,8.444291049646527,0
0,78.21360367659219,0,0,1,75.01267599255951,7.945063602177766,8.003441994625526,9.144636409102848,8.495848182696157,7.0709245639413485,0
1,60.214003444871906,1,1,0,83.14662861303717,9.953336455577734,7.885537057113835,8.834554726079464,8.103578811401086,9.474969710129821,0
1,60.65747788041912,0,1,1,97.8906435049033,7.47378348724922,7.728019098503634,8.737052380253047,9.80966217049273,9.957697431729743,0
0,69.21965306070949,0,0,1,92.90863824324742,9.255665749639808,8.963352117527302,7.703838267151077,7.63294607909782,9.687373829372039,0
0,96.63970360121725,2,0,0,79.36933125231592,9.171609765437292,8.91357249913656,7.086869472609971,7.5340216425454365,8.993971010514239,1
1,80.04833574920252,1,1,1,85.23713654095013,8.327470332600194,8.047444695930672,7.620721195492377,7.410947891249687,7.990120415015376,1
0,80.59205819077471,2,0,0,72.10569802563602,8.603588513057174,7.426439864080203,9.310254318831728,7.1143734955994065,8.864146664958323,0
1,71.99977648229091,0,0,0,71.57722377971592,7.105192748736734,9.262789984538385,7.746232338549021,8.09740950535588,9.44314539432054,0
1,70.62382700185516,2,1,0,91.68109314316197,8.347497304698283,9.532795321705548,9.445467586014702,7.194396184085127,7.409818626856264,0
0,93.10263043511094,0,1,1,72.07871282082276,7.752744927932151,9.73308175421914,9.476193041589648,7.032594489254601,7.098705133640025,0
1,67.47926667915571,2,0,0,92.85191966579697,9.930259567483152,8.960518803030551,7.423317940149119,7.354563484454993,8.194526313966943,0
